TTOO,CREATED_SUNDAY,CREATED_SUNDAY_CANCEL_1_HOUR,CREATED_SUNDAY_CANCEL_24_HOUR,CREATED_MONDAY,CREATED_MONDAY_CANCEL_1_HOUR,CREATED_MONDAY_CANCEL_24_HOUR,CREATED_TUESDAY,CREATED_TUEDAY_CANCEL_1_HOUR,CREATED_TUSDAY_CANCEL_24_HOUR,CREATED_WEDNESDAY,CREATED_WEDNES_CANCEL_1_HOUR,CREATED_WEDNES_CANCEL_24_HOUR,CREATED_THURSDAY,CREATED_THURSDAY_CANCEL_1_HOUR,CREATED_THURS_CANCEL_24_HOUR,CREATED_FRIDAY,CREATED_FRIDAY_CANCEL_1_HOUR,CREATED_FRIDAY_CANCEL_24_HOUR,CREATED_SATURDAY,CREATED_SATURDAY_CANCEL_1_HOUR,CREATED_SATUR_CANCEL_24_HOUR
9,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
17,0,0,0,30,7,16,37,5,13,25,6,17,35,7,16,18,3,6,0,0,0
51,0,0,0,2,0,0,4,0,0,2,0,0,5,0,0,2,0,0,1,0,0
59,0,0,0,3,0,1,4,0,0,2,0,0,3,0,1,7,3,3,1,0,0
63,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
111,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
118,0,0,0,5,0,0,11,0,0,5,1,1,8,1,1,8,2,2,0,0,0
137,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,6,0,0,3,0,0,6,0,0,6,0,0,5,0,1,8,0,0,9,0,0
146,4,0,0,24,2,2,31,4,4,21,0,0,16,0,0,17,0,1,17,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
183,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0
192,0,0,0,0,0,0,14,0,0,14,0,0,53,2,2,122,4,4,0,0,0
204,4,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
210,4,0,0,7,1,1,6,0,1,7,3,3,5,0,0,14,0,0,18,0,0
220,39,0,1,31,0,0,49,0,1,43,0,2,45,0,0,52,0,0,36,1,1
224,1,0,0,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0
252,0,0,0,4,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0
254,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,2,0,0,3,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0
256,11,2,3,8,0,1,24,4,4,2,0,0,13,1,1,5,0,0,0,0,0
257,4,0,0,4,0,0,4,0,1,3,0,0,8,0,0,0,0,0,0,0,0
277,0,0,0,4,0,1,5,0,0,4,0,0,1,0,0,1,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
297,1,0,0,11,0,0,8,0,0,11,0,0,15,0,0,12,1,1,1,0,0
311,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
316,4,0,0,16,0,2,13,0,0,15,0,0,4,0,0,8,0,0,0,0,0
322,23,0,0,62,1,4,58,0,0,44,1,1,62,4,6,68,1,3,40,0,0
340,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
341,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
350,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0
367,25,0,0,32,0,1,28,0,0,45,2,2,66,0,1,47,0,0,31,0,0
417,59,2,3,56,1,1,66,4,10,66,3,7,63,4,6,73,4,5,67,1,4
440,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
480,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,0,0,0,1,0,0,3,0,0,2,0,0,8,0,0,2,0,0,1,0,0
545,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
550,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,9,3,4,3,0,0,3,0,0,2,0,0,12,0,1,0,0,0,1,0,0
554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
563,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
566,8,0,0,7,0,0,8,0,0,11,0,0,2,0,0,10,0,0,5,0,0
573,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
578,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,2,0,0,10,3,3,9,1,1,17,9,10,23,7,11,11,0,0,15,4,5
587,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591,0,0,0,16,0,0,8,0,0,12,0,0,11,0,0,13,0,0,12,0,0
600,0,0,0,11,2,3,12,1,1,7,1,1,4,0,0,3,0,0,0,0,0
611,11,0,0,20,2,2,13,0,1,8,0,0,8,0,0,12,0,0,7,0,1
617,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,36,1,1,35,0,0,28,0,1,46,0,1,54,0,1,50,0,0,64,1,1
643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
646,1,0,1,2,0,0,4,0,0,5,0,0,4,1,1,6,0,0,0,0,0
